"group";"ISOweek";"deaths"
"00to14";"2019-W05";8
"00to14";"2019-W06";4
"00to14";"2019-W07";10
"00to14";"2019-W08";9
"00to14";"2019-W09";7
"00to14";"2019-W10";12
"00to14";"2019-W11";13
"00to14";"2019-W12";6
"00to14";"2019-W13";16
"00to14";"2019-W14";11
"00to14";"2019-W15";11
"00to14";"2019-W16";10
"00to14";"2019-W17";12
"00to14";"2019-W18";13
"00to14";"2019-W19";7
"00to14";"2019-W20";10
"00to14";"2019-W21";11
"00to14";"2019-W22";9
"00to14";"2019-W23";12
"00to14";"2019-W24";7
"00to14";"2019-W25";9
"00to14";"2019-W26";13
"00to14";"2019-W27";14
"00to14";"2019-W28";12
"00to14";"2019-W29";9
"00to14";"2019-W30";16
"00to14";"2019-W31";18
"00to14";"2019-W32";11
"00to14";"2019-W33";8
"00to14";"2019-W34";10
"00to14";"2019-W35";10
"00to14";"2019-W36";11
"00to14";"2019-W37";12
"00to14";"2019-W38";13
"00to14";"2019-W39";6
"00to14";"2019-W40";6
"00to14";"2019-W41";10
"00to14";"2019-W42";12
"00to14";"2019-W43";9
"00to14";"2019-W44";8
"00to14";"2019-W45";9
"00to14";"2019-W46";11
"00to14";"2019-W47";8
"00to14";"2019-W48";12
"00to14";"2019-W49";14
"00to14";"2019-W50";8
"00to14";"2019-W51";7
"00to14";"2019-W52";11
"00to14";"2020-W01";12
"00to14";"2020-W02";7
"00to14";"2020-W03";7
"00to14";"2020-W04";19
"00to14";"2020-W05";16
"00to14";"2020-W06";10
"00to14";"2020-W07";8
"00to14";"2020-W08";7
"00to14";"2020-W09";10
"00to14";"2020-W10";11
"00to14";"2020-W11";16
"00to14";"2020-W12";9
"00to14";"2020-W13";9
"00to14";"2020-W14";12
"00to14";"2020-W15";8.153534
"00to14";"2020-W16";11
"00to14";"2020-W17";13
"00to14";"2020-W18";11
"00to14";"2020-W19";10
"00to14";"2020-W20";12.08986
"00to14";"2020-W21";6.795964
"00to14";"2020-W22";9.902642
"15to44";"2014-W15";28
"15to44";"2014-W16";31
"15to44";"2014-W17";22
"15to44";"2014-W18";21
"15to44";"2014-W19";23
"15to44";"2014-W20";29
"15to44";"2014-W21";29
"15to44";"2014-W22";30
"15to44";"2014-W23";18
"15to44";"2014-W24";23
"15to44";"2014-W25";16
"15to44";"2014-W26";31
"15to44";"2014-W27";13
"15to44";"2014-W28";25
"15to44";"2014-W29";22
"15to44";"2014-W30";27
"15to44";"2014-W31";22
"15to44";"2014-W32";32
"15to44";"2014-W33";28
"15to44";"2014-W34";22
"15to44";"2014-W35";25
"15to44";"2014-W36";20
"15to44";"2014-W37";28
"15to44";"2014-W38";24
"15to44";"2014-W39";16
"15to44";"2014-W40";24
"15to44";"2014-W41";24
"15to44";"2014-W42";25
"15to44";"2014-W43";24
"15to44";"2014-W44";25
"15to44";"2014-W45";30
"15to44";"2014-W46";21
"15to44";"2014-W47";28
"15to44";"2014-W48";33
"15to44";"2014-W49";21
"15to44";"2014-W50";25
"15to44";"2014-W51";26
"15to44";"2014-W52";24
"15to44";"2015-W01";26
"15to44";"2015-W02";34
"15to44";"2015-W03";31
"15to44";"2015-W04";24
"15to44";"2015-W05";23
"15to44";"2015-W06";21
"15to44";"2015-W07";20
"15to44";"2015-W08";18
"15to44";"2015-W09";24
"15to44";"2015-W10";16
"15to44";"2015-W11";24
"15to44";"2015-W12";30
"15to44";"2015-W13";26
"15to44";"2015-W14";25
"15to44";"2015-W15";27
"15to44";"2015-W16";22
"15to44";"2015-W17";20
"15to44";"2015-W18";22
"15to44";"2015-W19";20
"15to44";"2015-W20";22
"15to44";"2015-W21";23
"15to44";"2015-W22";29
"15to44";"2015-W23";26
"15to44";"2015-W24";27
"15to44";"2015-W25";22
"15to44";"2015-W26";17
"15to44";"2015-W27";20
"15to44";"2015-W28";27
"15to44";"2015-W29";25
"15to44";"2015-W30";31
"15to44";"2015-W31";22
"15to44";"2015-W32";17
"15to44";"2015-W33";20
"15to44";"2015-W34";18
"15to44";"2015-W35";16
"15to44";"2015-W36";25
"15to44";"2015-W37";26
"15to44";"2015-W38";30
"15to44";"2015-W39";19
"15to44";"2015-W40";22
"15to44";"2015-W41";24
"15to44";"2015-W42";25
"15to44";"2015-W43";13
"15to44";"2015-W44";14
"15to44";"2015-W45";29
"15to44";"2015-W46";13
"15to44";"2015-W47";21
"15to44";"2015-W48";27
"15to44";"2015-W49";35
"15to44";"2015-W50";33
"15to44";"2015-W51";31
"15to44";"2015-W52";26
"15to44";"2015-W53";25
"15to44";"2016-W01";33
"15to44";"2016-W02";26
"15to44";"2016-W03";19
"15to44";"2016-W04";32
"15to44";"2016-W05";22
"15to44";"2016-W06";35
"15to44";"2016-W07";38
"15to44";"2016-W08";22
"15to44";"2016-W09";17
"15to44";"2016-W10";26
"15to44";"2016-W11";26
"15to44";"2016-W12";20
"15to44";"2016-W13";21
"15to44";"2016-W14";28
"15to44";"2016-W15";28
"15to44";"2016-W16";21
"15to44";"2016-W17";21
"15to44";"2016-W18";22
"15to44";"2016-W19";30
"15to44";"2016-W20";40
"15to44";"2016-W21";21
"15to44";"2016-W22";27
"15to44";"2016-W23";25
"15to44";"2016-W24";20
"15to44";"2016-W25";18
"15to44";"2016-W26";12
"15to44";"2016-W27";31
"15to44";"2016-W28";26
"15to44";"2016-W29";24
