"group";"ISOweek";"N"
"00to14";"2020-W05";952156.714285714
"00to14";"2020-W06";951975.285714286
"00to14";"2020-W07";951932.714285714
"00to14";"2020-W08";951825.857142857
"00to14";"2020-W09";951825
"00to14";"2020-W10";951607.714285714
"00to14";"2020-W11";951572.285714286
"00to14";"2020-W12";951469.285714286
"00to14";"2020-W13";951354.142857143
"00to14";"2020-W14";951249.285714286
"00to14";"2020-W15";950977.285714286
"00to14";"2020-W16";950790.142857143
"00to14";"2020-W17";950689.571428571
"00to14";"2020-W18";950621.714285714
"00to14";"2020-W19";950390.571428571
"00to14";"2020-W20";950223.571428571
"00to14";"2020-W21";950116.571428571
"00to14";"2020-W22";950010.428571429
"15to44";"2014-W27";2123054.14285714
"15to44";"2014-W28";2122171.14285714
"15to44";"2014-W29";2122088.85714286
"15to44";"2014-W30";2122050.57142857
"15to44";"2014-W31";2122855.71428571
"15to44";"2014-W32";2121979
"15to44";"2014-W33";2123289.42857143
"15to44";"2014-W34";2124455.71428571
"15to44";"2014-W35";2126242.57142857
"15to44";"2014-W36";2128952.71428571
"15to44";"2014-W37";2130377.14285714
"15to44";"2014-W38";2132025
"15to44";"2014-W39";2132664.42857143
"15to44";"2014-W40";2133520.42857143
"15to44";"2014-W41";2133504.57142857
"15to44";"2014-W42";2133966.57142857
"15to44";"2014-W43";2134259.14285714
"15to44";"2014-W44";2135067.85714286
"15to44";"2014-W45";2134872.28571429
"15to44";"2014-W46";2135177.85714286
"15to44";"2014-W47";2135359.71428571
"15to44";"2014-W48";2135835.71428571
"15to44";"2014-W49";2136059.14285714
"15to44";"2014-W50";2135893.14285714
"15to44";"2014-W51";2135995.14285714
"15to44";"2014-W52";2134942.14285714
"15to44";"2015-W01";2133288.57142857
"15to44";"2015-W02";2132725
"15to44";"2015-W03";2133158.57142857
"15to44";"2015-W04";2133700.28571429
"15to44";"2015-W05";2135255.14285714
"15to44";"2015-W06";2135646.28571429
"15to44";"2015-W07";2136319
"15to44";"2015-W08";2136765.57142857
"15to44";"2015-W09";2137827.71428571
"15to44";"2015-W10";2137688.71428571
"15to44";"2015-W11";2138099.71428571
"15to44";"2015-W12";2138267.28571429
"15to44";"2015-W13";2138723
"15to44";"2015-W14";2139198.85714286
"15to44";"2015-W15";2138837.71428571
"15to44";"2015-W16";2139298.42857143
"15to44";"2015-W17";2139723.28571429
"15to44";"2015-W18";2140547.57142857
"15to44";"2015-W19";2140303.14285714
"15to44";"2015-W20";2140535.71428571
"15to44";"2015-W21";2139994.42857143
"15to44";"2015-W22";2140296.14285714
"15to44";"2015-W23";2140614.71428571
"15to44";"2015-W24";2140431.14285714
"15to44";"2015-W25";2140582.71428571
"15to44";"2015-W26";2140648.71428571
"15to44";"2015-W27";2140196.14285714
"15to44";"2015-W28";2139232
"15to44";"2015-W29";2139161
"15to44";"2015-W30";2139207.14285714
"15to44";"2015-W31";2140333.14285714
"15to44";"2015-W32";2139998.42857143
"15to44";"2015-W33";2141252
"15to44";"2015-W34";2142317.85714286
"15to44";"2015-W35";2144298.57142857
"15to44";"2015-W36";2146473
"15to44";"2015-W37";2147801.28571429
"15to44";"2015-W38";2150247
"15to44";"2015-W39";2151756
"15to44";"2015-W40";2152661.14285714
"15to44";"2015-W41";2152604.14285714
"15to44";"2015-W42";2153202.85714286
"15to44";"2015-W43";2153569.57142857
"15to44";"2015-W44";2154567
"15to44";"2015-W45";2154385.57142857
"15to44";"2015-W46";2154895
"15to44";"2015-W47";2155123.42857143
"15to44";"2015-W48";2155379.42857143
"15to44";"2015-W49";2155719.42857143
"15to44";"2015-W50";2155490.28571429
"15to44";"2015-W51";2154576.57142857
"15to44";"2015-W52";2153941.57142857
"15to44";"2015-W53";2152973.14285714
"15to44";"2016-W01";2152352.71428571
"15to44";"2016-W02";2152597.42857143
"15to44";"2016-W03";2153191
"15to44";"2016-W04";2154063.85714286
"15to44";"2016-W05";2155665.14285714
"15to44";"2016-W06";2156127.42857143
"15to44";"2016-W07";2156214.14285714
"15to44";"2016-W08";2156669.71428571
"15to44";"2016-W09";2157148.85714286
"15to44";"2016-W10";2156992.14285714
"15to44";"2016-W11";2157340.71428571
"15to44";"2016-W12";2157382.71428571
"15to44";"2016-W13";2157576.14285714
