"group";"ISOweek";"GSIPLS"
"15to44";"2015-W12";0.00350991769411475
"15to44";"2015-W13";0.00403573477363955
"15to44";"2015-W14";0.00163236880244823
"15to44";"2015-W15";0.00154504407864762
"15to44";"2015-W16";0.000807586811990274
"15to44";"2015-W17";0.000733878308836109
"15to44";"2015-W18";0.000298563236084873
"15to44";"2015-W19";0.000327446747239737
"15to44";"2015-W20";0.000149501522286083
"15to44";"2015-W21";0.000239323457688742
"15to44";"2015-W22";0.000123993979347462
"15to44";"2015-W23";5.06303549570915e-05
"15to44";"2015-W24";6.19891694458364e-05
"15to44";"2015-W25";3.97198280593949e-05
"15to44";"2015-W26";0
"15to44";"2015-W27";2.24869249615954e-05
"15to44";"2015-W28";0
"15to44";"2015-W29";0
"15to44";"2015-W30";0
"15to44";"2015-W31";0
"15to44";"2015-W32";8.31951610504581e-05
"15to44";"2015-W33";2.09380228683169e-05
"15to44";"2015-W34";2.11350810966492e-05
"15to44";"2015-W35";2.58807256421361e-05
"15to44";"2015-W36";2.64794506434209e-05
"15to44";"2015-W37";0
"15to44";"2015-W38";2.96308333767708e-05
"15to44";"2015-W39";0
"15to44";"2015-W40";0
"15to44";"2015-W41";0
"15to44";"2015-W42";0
"15to44";"2015-W43";0
"15to44";"2015-W44";0
"15to44";"2015-W45";0
"15to44";"2015-W46";0.000131795079141483
"15to44";"2015-W47";6.32999014723052e-05
"15to44";"2015-W48";3.42254886353743e-05
"15to44";"2015-W49";0.000206579280910407
"15to44";"2015-W50";0.000318544107291377
"15to44";"2015-W51";0.000365344002013294
"15to44";"2015-W52";0.000594896269400762
"15to44";"2015-W53";0.000182512720428954
"15to44";"2016-W01";0.000555624845963299
"15to44";"2016-W02";0.00106697152138018
"15to44";"2016-W03";0.00207819649135465
"15to44";"2016-W04";0.00811941212446058
"15to44";"2016-W05";0.00744755816359513
"15to44";"2016-W06";0.0164729805011878
"15to44";"2016-W07";0.0137387472055872
"15to44";"2016-W08";0.0140831738887276
"15to44";"2016-W09";0.0106956556011209
"15to44";"2016-W10";0.0130517996090538
